"","Away Team","Home Team","Line","ATOR","ATDR","HTOR","HTDR","Away Score","Home Score","Predictor","Prediction","Line Result","Bet.Result"
"734","CIN","TENN",-4.5,1.48,0.54,1.21,0.69,23,45,42,"CIN","TENN","Lose"
"735","TULSA","TULANE",12,0.78,1.15,1.21,0.89,31,3,-69,"TULANE","TULSA","Win"
"736","UNLV","WSU",-13.5,1,1.59,1.25,0.86,7,59,-98,"WSU","WSU","Win"
"737","TEMP","AKR",15.5,1.34,0.54,0.45,1.24,41,3,159,"TEMP","TEMP","Lose"
"738","NAVY","WKU",9.5,1.23,0.87,0.46,0.62,40,14,52,"NAVY","NAVY","Lose"
"739","UVA","IND",7,1.04,0.38,0.99,1.11,34,31,78,"UVA","IND","Lose"
"740","UTEP","SMU",-19.5,0.79,0.89,0.85,1.38,17,28,43,"UTEP","UTEP","Lose"
"741","MEM","ARK ST",-16.5,0.78,1.38,0.72,1.06,3,47,-26,"ARK ST","ARK ST","Win"
"742","NIU","KAN",4.5,1.12,0.9,1.27,0.94,42,45,-11,"KAN","KAN","Win"
"743","ULL","KENT",-8.5,0.74,1.09,0.5,0.86,20,12,0.99999999999999,"ULL","ULL","Lose"
"744","GT","MTSU",11,1.52,0.69,0.89,0.84,49,21,78,"GT","GT","Lose"
"745","HOU","NT",21.5,1.12,1.18,0.74,1.12,48,23,32,"HOU","HOU","Lose"
"746","CONN","VANDY",-2.5,1.19,0.61,1.07,0.75,21,24,26,"CONN","VANDY","Lose"
"747","ND","MICH",3.5,0.74,0.84,1.25,0.7,31,35,-65,"MICH","MICH","Win"
"748","BC","UCF",-7.5,0.84,1,1.36,0.51,3,30,-101,"UCF","UCF","Win"
"749","SJSU","UCLA",-21,0.53,1.24,1.18,1.14,17,27,-75,"UCLA","SJSU","Win"
"750","UTAH","USC",-8.5,1.05,0.8,0.99,0.83,14,23,9,"UTAH","USC","Lose"
"751","LSU","MISS ST",3.5,1.11,0.6,1.11,0.87,19,6,27,"LSU","LSU","Lose"
"752","BOISE","TOLEDO",20,1.11,0.93,1.07,0.8,40,15,-9,"TOLEDO","BOISE","Win"
"753","ISU","CONN",-4,0.86,0.94,0.77,0.59,24,20,-26,"CONN","ISU","Win"
"754","AUB","CLEM",-3.5,1.13,1.02,1.11,0.92,24,38,-8.00000000000002,"CLEM","CLEM","Win"
"755","OKLA","FSU",3,1.12,0.75,1.18,0.66,23,13,-15,"FSU","OKLA","Win"
"756","NT","ALA",-47,0.76,1.02,0.94,0.51,0,41,-69,"ALA","NT","Win"
"757","STAN","ARZ",9.5,1.27,0.64,1.15,1,37,10,48,"STAN","STAN","Lose"
"758","WISC","NIU",17,1.38,0.83,1.23,1.01,49,7,33,"WISC","WISC","Lose"
"759","OKLA ST","TULSA",13.5,1.12,0.84,0.88,0.87,59,33,27,"OKLA ST","OKLA ST","Lose"
"760","IDA","TEXAM",-35.5,0.85,0.9,1.3,0.75,7,37,-60,"TEXAM","IDA","Win"
"761","NAVY","SC",-16,1.15,0.72,0.91,0.81,21,24,33,"NAVY","NAVY","Lose"
"762","WASH","NEB",-17,1.11,0.8,0.99,0.8,38,51,12,"WASH","WASH","Lose"
"763","ARK ST","VT",-24,1.01,0.83,1.08,0.53,7,26,-37,"VT","ARK ST","Win"
"764","TROY","ARK",-23.5,0.74,1.1,1.11,0.76,28,38,-71,"ARK","TROY","Win"
"765","MSU","ND",-5,1.11,0.65,0.8,0.91,13,31,57,"MSU","ND","Lose"
"766","TENN","UF",-9.5,1.17,0.87,1.02,0.64,23,33,-8.00000000000001,"TENN","UF","Lose"
"767","OSU","MIAFL",-2.5,1.1,0.65,0.81,0.92,6,24,56,"OSU","MIAFL","Lose"
"768","WVU","MARY",-1,1.14,0.77,0.91,0.8,37,31,26,"WVU","WVU","Lose"
"769","ASU","ILL",-2,1.16,0.94,1.24,0.58,14,17,-44,"ILL","ILL","Win"
"770","ULM","TCU",-29,0.79,0.81,1.14,1.15,17,38,-1,"ULM","ULM","Lose"
"771","TEX","UCLA",3.5,0.99,0.63,1.08,0.96,49,20,24,"TEX","TEX","Lose"
"772","EMU","MICH",-29.5,0.98,0.59,1.12,0.79,3,31,5.99999999999999,"EMU","EMU","Lose"
"773","WYO","BGSU",-9.5,1.06,0.86,1.05,0.55,28,27,-30,"BGSU","WYO","Win"
"774","PSU","TEMP",7,0.85,0.81,1.23,0.55,14,10,-64,"TEMP","TEMP","Win"
"775","PITT","IOWA",-3,0.95,0.89,1.03,0.9,27,31,-7.00000000000001,"IOWA","IOWA","Win"
"776","CMU","WMU",-7,0.77,0.55,0.83,0.82,14,44,21,"CMU","WMU","Lose"
"777","MISS","VANDY",2.5,0.83,0.79,0.81,0.56,7,30,-21,"VANDY","VANDY","Win"
"778","DUKE","BC",-7,0.83,1.09,0.7,1.06,20,19,10,"DUKE","DUKE","Lose"
"779","KAN","GT",-14.5,1.18,1.13,1.43,0.77,24,66,-61,"GT","GT","Win"
"780","CSU","COL",-7.5,0.93,0.67,0.9,0.98,14,28,34,"CSU","COL","Lose"
"781","NW","ARMY",5.5,1.1,0.88,0.94,1.13,14,21,41,"NW","ARMY","Lose"
"782","AKR","CIN",-34,0.51,1.19,1.29,0.88,14,59,-109,"CIN","CIN","Win"
"783","UVA","UNC",-10,0.9,0.57,1.08,0.81,17,28,6.00000000000001,"UVA","UNC","Lose"
"784","MIAOH","MINN",-4,0.72,0.87,0.83,0.96,23,29,-2,"MIAOH","MINN","Lose"
"785","TTU","NM",21,1.24,0.65,0.76,1.08,59,13,91,"TTU","TTU","Lose"
"786","NEV","SJSU",6,0.83,1.42,0.64,1.11,17,14,-12,"SJSU","SJSU","Win"
"787","TULANE","UAB",-13,0.83,0.93,0.67,1.15,49,10,38,"TULANE","TULANE","Lose"
"788","UCF","FIU",6,1.24,0.49,1.06,0.76,10,17,45,"UCF","FIU","Lose"
"789","WSU","SDSU",-5,1.28,0.78,1.19,0.96,24,42,27,"WSU","SDSU","Lose"
"790","MARSH","OHIO",-4.5,0.83,0.68,0.92,0.6,7,44,-17,"OHIO","OHIO","Win"
"791","LOU","UK",-5,0.77,0.78,0.78,0.6,24,17,-19,"UK","LOU","Win"
"792","BUFF","BALL",-4.5,0.97,0.88,0.85,0.91,25,28,15,"BUFF","BUFF","Lose"
"793","KENT","KAN ST",-17,0.47,0.73,0.56,0.44,0,37,-38,"KAN ST","KAN ST","Win"
"794","HOU","LT",6.5,1.09,0.99,0.92,0.82,35,34,0,"LT","LT","Win"
"795","SYR","USC",-14.5,1.04,0.79,0.89,0.79,17,38,15,"SYR","USC","Lose"
"796","UTEP","NMSU",-3,0.71,0.88,0.93,0.94,16,10,-16,"NMSU","UTEP","Win"
"797","UTAH","BYU",-3.5,0.9,0.85,0.73,0.74,54,10,6.00000000000001,"UTAH","UTAH","Lose"
"798","HAW","UNLV",17.5,0.94,0.98,0.84,1.42,20,40,54,"HAW","UNLV","Lose"
"799","NCSU","CIN",-7,0.97,0.68,1.23,0.76,14,44,-18,"CIN","CIN","Win"
"800","UCF","BYU",-2,1.08,0.6,0.6,0.84,17,24,72,"UCF","BYU","Lose"
"801","FAU","AUB",-31,0.6,1,1.09,1.07,14,30,-42,"AUB","FAU","Win"
"802","MIZZ","OKLA",-19,1.09,0.81,1.01,0.63,28,38,-10,"MIZZ","MIZZ","Lose"
"803","LSU","WVU",5.5,1.06,0.57,1.03,0.82,47,21,28,"LSU","LSU","Lose"
"804","ARK","ALA",-11,1.05,0.8,1.01,0.55,14,38,-21,"ALA","ALA","Win"
"805","TULSA","BOISE",-28,0.81,0.96,1.17,0.82,21,41,-50,"BOISE","TULSA","Win"
"806","OKLA ST","TEXAM",-4.5,1.13,0.79,1.14,0.76,30,29,-4,"OKLA ST","OKLA ST","Lose"
"807","NEB","WYO",21,1.06,0.85,1.03,0.81,38,14,-0.99999999999999,"WYO","NEB","Win"
"808","ORE","ARZ",15,1.19,0.9,1.05,1.08,56,31,32,"ORE","ORE","Lose"
"809","FSU","CLEM",-2,0.99,0.73,1.13,0.95,30,35,8.00000000000001,"FSU","CLEM","Lose"
"810","VANDY","SC",-15.5,0.83,0.51,0.97,0.94,3,21,29,"VANDY","SC","Lose"
"811","VT","MARSH",20.5,1.02,0.57,0.7,0.83,30,10,58,"VT","MARSH","Lose"
"812","UF","UK",19.5,1,0.66,0.76,0.73,48,10,31,"UF","UF","Lose"
"813","RICE","BAY",-20.5,0.78,0.98,1.4,0.91,31,56,-69,"BAY","BAY","Win"
"814","UTEP","USF",-29,0.7,0.79,1,0.65,24,52,-44,"USF","UTEP","Win"
"815","SDSU","MICH",-10,1.13,0.85,1.11,0.79,7,28,-4.00000000000001,"SDSU","MICH","Lose"
"816","USC","ASU",-2.5,0.96,0.82,0.97,0.9,22,43,7.00000000000001,"USC","ASU","Lose"
"817","WMU","ILL",-14,0.92,0.79,1.12,0.6,20,23,-39,"ILL","WMU","Win"
"818","UNC","GT",-7.5,1.09,0.8,1.55,0.86,28,35,-40,"GT","UNC","Win"
"819","CMU","MSU",-21.5,0.75,0.73,0.97,0.69,7,45,-26,"MSU","MSU","Win"
"820","TOLEDO","SYR",-2,0.96,0.96,0.99,0.89,30,33,-10,"SYR","SYR","Win"
"821","EMU","PSU",-28.5,0.92,0.77,0.85,0.72,6,34,2,"EMU","EMU","Lose"
"822","ND","PITT",7,0.79,0.83,0.93,0.92,15,12,-4.99999999999999,"PITT","PITT","Win"
"823","SMU","MEM",24,0.84,0.9,0.78,1.05,42,0,21,"MEM","SMU","Win"
"824","ULM","IOWA",-17,0.8,0.88,1.01,0.89,17,45,-20,"IOWA","IOWA","Win"
"825","UGA","MISS",10,1.08,0.84,0.68,0.81,27,13,37,"UGA","UGA","Lose"
"826","TEMP","MARY",-8.5,1.01,0.66,0.89,0.83,38,7,29,"TEMP","TEMP","Lose"
"827","BGSU","MIAOH",-4,0.98,0.69,0.81,0.94,37,23,42,"BGSU","BGSU","Lose"
"828","OHIO","RUT",-4,0.97,0.54,0.83,0.49,26,38,9,"OHIO","RUT","Lose"
"829","ARMY","BALL",4,0.98,1.07,0.93,0.96,21,48,-6.00000000000002,"BALL","BALL","Win"
"830","UCLA","ORG ST",-4.5,0.95,1.07,0.82,1.09,27,19,15,"UCLA","UCLA","Lose"
"831","COL","OSU",-16.5,0.95,0.93,0.96,0.77,17,37,-17,"OSU","OSU","Win"
"832","USM","UVA",-3,0.8,0.69,0.85,0.75,30,24,1.00000000000001,"USM","USM","Lose"
"833","CAL","WASH",-0.5,1.04,0.72,1.05,0.92,23,31,19,"CAL","WASH","Lose"
"834","TULANE","DUKE",-10,0.98,0.81,0.9,1.03,27,48,30,"TULANE","DUKE","Lose"
"835","UAB","ECU",-14.5,0.55,1.21,0.66,0.87,23,28,-45,"ECU","UAB","Win"
"836","KAN ST","MIAFL",-13.5,0.78,0.54,0.89,0.79,28,24,14,"KAN ST","KAN ST","Lose"
"837","NMSU","SJSU",-10.5,0.83,0.86,0.62,1,24,34,35,"NMSU","NMSU","Lose"
"838","MTSU","TROY",-12.5,0.87,1.09,0.8,1.02,35,38,-1.11022302462516e-14,"MTSU","MTSU","Lose"
"839","FRESNO","IDA",3,0.89,0.96,0.83,0.94,48,24,4,"FRESNO","FRESNO","Lose"
"840","CONN","BUFF",8.5,0.73,0.65,1.01,0.95,17,3,1.99999999999999,"BUFF","CONN","Win"
"841","ULL","FIU",-16.5,0.72,0.76,0.97,0.75,36,31,-26,"FIU","ULL","Win"
"842","LT","MISS ST",-19.5,0.9,0.85,0.95,0.89,20,26,-0.99999999999999,"LT","LT","Lose"
"843","IND","NT",6,0.96,0.94,0.72,1.12,21,24,42,"IND","NT","Lose"
"844","NEV","TTU",-15.5,0.82,1.02,1.29,0.63,34,35,-86,"TTU","NEV","Win"
"845","CSU","USU",-10.5,0.9,0.81,1.24,1,35,34,-15,"USU","CSU","Win"
"846","USF","PITT",3,1.07,0.67,0.91,0.9,17,44,39,"USF","PITT","Lose"
"847","HOU","UTEP",16.5,1.1,0.87,0.71,0.93,49,42,45,"HOU","UTEP","Lose"
"848","USU","BYU",-7.5,1.15,0.94,0.63,0.84,24,27,42,"USU","USU","Lose"
"849","AUB","SC",-10.5,1.02,0.99,0.9,0.83,16,13,-4,"AUB","AUB","Lose"
"850","UK","LSU",-30.5,0.69,0.81,1.09,0.62,7,35,-59,"LSU","UK","Win"
"851","BALL","OKLA",-39.5,1.02,1,1.03,0.81,6,62,-20,"BALL","OKLA","Lose"
"852","ALA","UF",4,1.04,0.57,1.02,0.62,38,10,7.00000000000001,"ALA","ALA","Lose"
"853","NEV","BOISE",-27.5,0.93,1.06,1.15,0.8,10,30,-48,"BOISE","NEV","Win"
"854","UCLA","STAN",-22.5,1.01,1.01,1.27,0.7,19,45,-57,"STAN","STAN","Win"
"855","NEB","WISC",-10,1.09,0.85,1.37,0.8,17,48,-33,"WISC","WISC","Win"
"856","CLEM","VT",-7,1.1,0.96,1.01,0.57,23,3,-30,"VT","CLEM","Win"
"857","TEXAM","ARK",2.5,1,0.84,0.96,0.88,38,42,8.00000000000001,"TEXAM","ARK","Lose"
"858","BAY","KAN ST",3.5,1.38,0.9,0.89,0.73,35,36,32,"BAY","KAN ST","Lose"
"859","TEX","ISU",9,1.08,0.64,0.83,0.85,37,14,46,"TEX","TEX","Lose"
"860","MINN","MICH",-20,0.87,0.99,1.05,0.74,0,58,-43,"MICH","MICH","Win"
"861","SMU","TCU",-13,0.89,0.81,1.14,0.96,40,33,-10,"SMU","SMU","Lose"
"862","GT","NCSU",9.5,1.42,0.88,0.89,0.8,45,35,45,"GT","GT","Lose"
"863","BGSU","WVU",-18,0.98,0.69,0.95,0.91,10,55,25,"BGSU","WVU","Lose"
"864","NW","ILL",-10,1.06,0.95,1.06,0.66,35,38,-29,"ILL","NW","Win"
"865","ORG ST","ASU",-17,0.8,1.12,1.03,0.86,20,35,-49,"ASU","ORG ST","Win"
"866","MISS ST","UGA",-7,0.93,0.86,1.05,0.77,10,24,-21,"UGA","UGA","Win"
"867","PSU","IND",14,0.88,0.67,0.9,0.93,16,10,24,"PSU","IND","Lose"
"868","RUT","SYR",-1.5,0.86,0.58,1,0.91,19,16,19,"RUT","RUT","Lose"
"869","TOLEDO","TEMP",-8,0.96,0.97,1.07,0.67,36,13,-41,"TEMP","TOLEDO","Win"
"870","TULANE","ARMY",-7,0.93,0.9,1.01,1.13,6,45,15,"TULANE","ARMY","Lose"
"871","TTU","KAN",6.5,1.23,0.82,1.14,1.34,45,34,61,"TTU","TTU","Lose"
"872","AFA","NAVY",3.5,1.22,0.97,1.14,0.85,35,34,-3.99999999999999,"NAVY","NAVY","Win"
"873","WAKE","BC",1,1,0.88,0.85,0.93,27,19,20,"WAKE","WAKE","Lose"
"874","BUFF","TENN",-28.5,0.92,0.94,1.03,0.9,10,41,-15,"BUFF","TENN","Lose"
"875","AKR","EMU",-8.5,0.7,1.06,0.81,0.82,23,31,-35,"EMU","AKR","Win"
"876","CIN","MIAOH",15.5,1.19,0.73,0.77,0.95,27,0,64,"CIN","CIN","Lose"
"877","KENT","OHIO",-16,0.65,0.78,0.93,0.65,10,17,-41,"OHIO","KENT","Win"
"878","NIU","CMU",9.5,1.17,1.12,0.74,0.85,41,48,16,"NIU","CMU","Lose"
"879","IDA","UVA",-15.5,0.82,0.97,0.83,0.78,20,21,-20,"UVA","IDA","Win"
"880","MSU","OSU",-3,1.01,0.59,1,0.77,10,7,19,"MSU","MSU","Lose"
"881","MARSH","LOU",-11,0.67,0.86,0.85,0.76,17,13,-28,"LOU","MARSH","Win"
"882","ARZ","USC",-12,1.02,1.16,0.9,0.93,41,48,-11,"ARZ","ARZ","Lose"
"883","WSU","COL",-3,1.07,0.88,0.91,0.98,31,27,26,"WSU","WSU","Lose"
"884","WMU","CONN",-3,0.89,0.83,0.78,0.66,38,31,-5.99999999999999,"CONN","WMU","Win"
"885","SJSU","CSU",-3.5,0.73,1,0.88,0.85,38,31,-30,"CSU","SJSU","Win"
"886","ARK ST","WKU",11.5,0.96,0.86,0.61,0.96,34,37,45,"ARK ST","WKU","Lose"
"887","NT","TULSA",-23,0.76,1.02,0.8,1,24,41,-6.00000000000001,"NT","NT","Lose"
"888","WASH","UTAH",-10,1.05,0.92,0.94,0.68,31,14,-13,"UTAH","WASH","Win"
"889","UAB","TROY",-17,0.64,1.09,0.84,1,23,24,-29,"TROY","UAB","Win"
"890","MEM","MTSU",-23.5,0.72,1.04,0.91,1.03,31,38,-20,"MEM","MEM","Lose"
"891","HAW","LT",-4.5,0.97,0.9,0.87,0.86,44,26,5.99999999999999,"HAW","HAW","Lose"
"892","DUKE","FIU",-4.5,0.96,0.96,0.98,0.82,31,27,-16,"FIU","DUKE","Win"
"893","RICE","USM",-14,0.82,1.1,0.82,0.71,24,48,-39,"USM","USM","Win"
"894","ND","PUR",12,0.79,0.84,1.05,0.83,38,10,-27,"PUR","ND","Win"
"895","UNC","ECU",6.5,1.08,0.86,0.72,0.83,35,20,33,"UNC","UNC","Lose"
"896","NMSU","NM",-1,0.88,0.91,0.79,1.2,42,28,38,"NMSU","NMSU","Lose"
"897","MISS","FRESNO",-3.5,0.64,0.86,0.94,0.92,38,28,-24,"FRESNO","MISS","Win"
"898","FAU","ULL",-8.5,0.63,0.95,0.81,0.82,34,37,-31,"ULL","FAU","Win"
"899","CAL","ORE",-24,1.01,0.8,1.24,0.91,15,43,-12,"CAL","ORE","Lose"
"900","WKU","MTSU",-11,0.67,0.97,0.95,1.03,36,33,-22,"MTSU","WKU","Win"
"901","BOISE","FRESNO",20,1.08,0.74,0.95,0.97,57,7,36,"BOISE","BOISE","Lose"
"902","AUB","ARK",-10,0.93,0.94,0.99,0.94,14,38,-5.99999999999999,"AUB","ARK","Lose"
"903","UF","LSU",-13.5,0.96,0.72,1.08,0.61,11,41,-23,"LSU","LSU","Win"
"904","VANDY","ALA",-29,0.73,0.56,1.1,0.57,0,34,-36,"ALA","ALA","Win"
"905","OKLA","TEX",11,1.08,0.72,1.08,0.65,55,17,-6.99999999999999,"TEX","OKLA","Win"
"906","KAN","OKLA ST",-31,1.1,1.26,1.08,0.78,28,70,-46,"OKLA ST","OKLA ST","Win"
"907","COL","STAN",-29.5,0.91,0.98,1.29,0.74,7,48,-62,"STAN","STAN","Win"
"908","BC","CLEM",-21,0.8,0.94,1.06,0.89,14,36,-31,"CLEM","CLEM","Win"
"909","MICH","NW",7.5,1.12,0.71,1.07,0.96,42,24,30,"MICH","MICH","Lose"
"910","MARY","GT",-15,0.9,0.86,1.38,0.91,16,21,-43,"GT","MARY","Win"
"911","OSU","NEB",-10.5,0.92,0.76,1.03,0.94,27,34,6.99999999999999,"OSU","OSU","Lose"
"912","CONN","WVU",-19.5,0.82,0.73,1.02,0.83,16,43,-10,"CONN","WVU","Lose"
"913","UK","SC",-21,0.67,0.86,0.85,0.79,3,54,-25,"SC","SC","Win"
"914","ILL","IND",14,1.05,0.75,0.83,0.88,41,20,35,"ILL","ILL","Lose"
"915","MIZZ","KAN ST",4,1.09,0.89,0.91,0.8,17,24,9.00000000000001,"MIZZ","KAN ST","Lose"
"916","MIAFL","VT",-7,1.01,0.87,0.93,0.64,35,38,-15,"VT","MIAFL","Win"
"917","ASU","UTAH",3.5,0.98,0.79,0.87,0.77,35,14,9,"ASU","ASU","Lose"
"918","FSU","WAKE",10,0.99,0.83,0.99,0.81,30,35,-1.99999999999999,"WAKE","WAKE","Win"
"919","TEXAM","TTU",9.5,1.04,0.9,1.2,0.86,45,40,-20,"TTU","TTU","Win"
"920","ISU","BAY",-16,0.78,0.89,1.29,0.92,26,49,-48,"BAY","BAY","Win"
"921","MISS ST","UAB",20,0.85,0.85,0.69,1.02,21,3,33,"MISS ST","UAB","Lose"
"922","LOU","UNC",-13.5,0.82,0.8,1.11,0.84,7,14,-25,"UNC","LOU","Win"
"923","MINN","PUR",-14,0.82,1.06,0.97,0.91,17,45,-30,"PUR","PUR","Win"
"924","MEM","RICE",-20.5,0.79,1.04,0.76,1.09,6,28,8.00000000000001,"MEM","RICE","Lose"
"925","ARMY","MIAOH",2,1.05,1.03,0.73,0.89,28,35,18,"ARMY","MIAOH","Lose"
"926","FIU","AKR",17,3.04,0.87,0.74,1.06,27,17,249,"FIU","AKR","Lose"
"927","TEMP","BALL",9,0.97,0.76,0.91,1.05,42,0,35,"TEMP","TEMP","Lose"
"928","BGSU","WMU",-10,0.89,0.83,0.91,0.87,21,45,2,"BGSU","WMU","Lose"
"929","EMU","TOLEDO",-21,0.87,0.84,1,0.9,16,45,-6.99999999999999,"EMU","TOLEDO","Lose"
"930","PITT","RUT",6.5,0.94,0.88,0.76,0.56,10,34,-14,"RUT","RUT","Win"
"931","KENT","NIU",-16.5,0.61,0.79,1.1,1.16,10,40,-12,"KENT","NIU","Lose"
"932","USM","NAVY",-1,0.87,0.69,1.09,0.94,63,35,2.99999999999999,"USM","USM","Lose"
"933","OHIO","BUFF",8.5,0.91,0.61,0.89,1.15,37,38,56,"OHIO","BUFF","Lose"
"934","AFA","ND",-14,1.24,0.98,0.87,0.81,33,59,20,"AFA","ND","Lose"
"935","CMU","NCSU",-10.5,0.65,0.93,0.88,0.79,24,38,-37,"NCSU","NCSU","Win"
"936","ARZ","ORG ST",2,1.03,1.19,0.73,1.03,27,37,14,"ARZ","ORG ST","Lose"
"937","IOWA","PSU",-4.5,1.06,0.9,0.84,0.65,3,13,-2.99999999999999,"IOWA","PSU","Lose"
"938","LT","IDA",4,0.85,0.88,0.77,0.93,24,11,13,"LT","LT","Lose"
"939","TROY","ULL",6,0.84,0.94,0.86,0.83,17,31,-13,"ULL","ULL","Win"
"940","MARSH","UCF",-19.5,0.73,0.84,1.02,0.64,6,16,-49,"UCF","MARSH","Win"
"941","ECU","HOU",-11,0.73,0.94,1.13,0.91,3,56,-43,"HOU","HOU","Win"
"942","ARK ST","ULM",2.5,0.97,0.86,0.82,0.96,24,19,25,"ARK ST","ARK ST","Lose"
"943","UNLV","NEV",-20.5,0.8,1.06,0.86,1.02,0,37,-10,"UNLV","NEV","Lose"
"944","UGA","TENN",2.5,1,0.72,1.05,0.85,20,12,8,"UGA","UGA","Lose"
"945","FAU","NT",-4,0.7,0.97,0.8,1.03,17,31,-4,"NT","NT","Win"
"946","WYO","USU",-12,0.99,0.9,1.12,0.94,19,63,-9.00000000000002,"WYO","USU","Lose"
"947","SYR","TULANE",10,0.9,0.81,0.86,0.96,37,34,19,"SYR","TULANE","Lose"
"948","SJSU","BYU",-13.5,0.77,0.98,0.71,0.88,16,29,-3.99999999999999,"SJSU","SJSU","Lose"
"949","WSU","UCLA",-3.5,1.05,0.88,0.98,1.06,25,28,25,"WSU","WSU","Lose"
"950","TCU","SDSU",4.5,1.12,0.96,0.99,0.86,27,14,3.00000000000001,"SDSU","TCU","Win"
"951","SDSU","AFA",-7,0.89,0.86,1.2,1.07,41,27,-9.99999999999999,"AFA","SDSU","Win"
"952","USC","CAL",3.5,0.98,0.97,0.95,0.89,30,9,-4.99999999999999,"CAL","USC","Win"
"953","HAW","SJSU",6,0.97,0.87,0.78,0.87,27,28,19,"HAW","SJSU","Lose"
"954","UF","AUB",2,0.93,0.81,0.89,0.96,6,17,19,"UF","AUB","Lose"
"955","LSU","TENN",17,1.12,0.63,0.99,0.88,38,7,38,"LSU","LSU","Lose"
"956","ALA","MISS",27,1.06,0.57,0.76,0.89,52,7,62,"ALA","ALA","Lose"
"957","OKLA","KAN",35.5,1.06,0.65,1.05,1.31,47,17,67,"OKLA","KAN","Lose"
"958","IND","WISC",-40,0.8,0.91,1.36,0.8,7,59,-67,"WISC","WISC","Win"
"959","BOISE","CSU",32,1.13,0.7,0.88,0.87,63,13,42,"BOISE","BOISE","Lose"
"960","OKLA ST","TEX",7.5,1.15,0.79,0.93,0.71,38,26,14,"OKLA ST","OKLA ST","Lose"
"961","STAN","WSU",21,1.27,0.75,1.01,0.92,44,14,43,"STAN","STAN","Lose"
"962","CLEM","MARY",8,1.05,0.87,0.88,0.88,56,45,18,"CLEM","CLEM","Lose"
"963","ASU","ORE",-14.5,0.98,0.76,1.22,0.88,27,41,-12,"ASU","ASU","Lose"
"964","MICH","MSU",-3,1.1,0.75,0.95,0.59,14,28,-0.99999999999999,"MICH","MSU","Lose"
"965","GT","UVA",7.5,1.29,0.89,0.82,0.74,21,24,32,"GT","UVA","Lose"
"966","SC","MISS ST",3,0.9,0.67,0.9,0.82,14,12,15,"SC","MISS ST","Lose"
"967","OSU","ILL",-3.5,0.92,0.82,1.05,0.73,17,7,-22,"ILL","OSU","Win"
"968","KAN ST","TTU",-3.5,0.91,0.81,1.14,0.91,41,34,-13,"TTU","KAN ST","Win"
"969","VT","WAKE",6,0.98,0.74,0.99,0.82,38,17,6.99999999999999,"VT","VT","Lose"
"970","BAY","TEXAM",-8,1.25,0.91,1.05,0.92,28,55,21,"BAY","TEXAM","Lose"
"971","TOLEDO","BGSU",8,1.04,0.86,0.91,0.9,28,21,17,"TOLEDO","BGSU","Lose"
"972","PUR","PSU",-12,1,0.86,0.85,0.63,18,23,-8,"PUR","PUR","Lose"
"973","UTAH","PITT",6,0.81,0.82,0.88,0.87,26,14,-1.99999999999999,"PITT","UTAH","Win"
"974","LOU","CIN",-13.5,0.82,0.81,1.1,0.7,16,25,-39,"CIN","LOU","Win"
"975","MIAFL","UNC",-2.5,1.07,0.94,1.06,0.83,30,24,-10,"UNC","MIAFL","Win"
"976","BUFF","TEMP",-21,0.93,0.98,1.05,0.72,0,34,-38,"TEMP","TEMP","Win"
"977","NAVY","RUT",-3.5,1.13,1.05,0.77,0.54,20,21,-15,"RUT","NAVY","Win"
"978","ISU","MIZZ",-15.5,0.8,0.95,1.04,0.9,17,52,-29,"MIZZ","MIZZ","Win"
"979","UNLV","WYO",-10.5,0.73,1.02,0.95,1,14,41,-24,"WYO","WYO","Win"
"980","EMU","CMU",-12,0.83,0.92,0.79,0.93,35,28,4.99999999999999,"EMU","EMU","Lose"
"981","FSU","DUKE",12,0.92,0.86,0.98,0.98,41,16,6.00000000000001,"DUKE","FSU","Win"
"982","RICE","MARSH",-5,0.78,0.98,0.7,0.84,20,24,-5.99999999999999,"MARSH","RICE","Win"
"983","COL","WASH",-16,0.89,1.02,1.03,0.87,24,52,-29,"WASH","WASH","Win"
"984","BALL","OHIO",-14,0.86,1.11,0.92,0.71,23,20,-46,"OHIO","BALL","Win"
"985","USF","CONN",7.5,1.02,0.77,0.8,0.78,10,16,23,"USF","CONN","Lose"
"986","MIAOH","KENT",3.5,0.81,0.94,0.55,0.82,9,3,14,"MIAOH","MIAOH","Lose"
"987","UCF","SMU",-3.5,0.97,0.62,0.86,0.86,17,38,35,"UCF","SMU","Lose"
"988","UTEP","TULANE",-1.5,0.79,1,0.9,0.97,44,7,-14,"TULANE","UTEP","Win"
"989","WMU","NIU",1.5,0.98,0.88,1.08,1.03,22,51,4.99999999999999,"WMU","NIU","Lose"
"990","BYU","ORG ST",-3,0.75,0.86,0.77,0.98,38,28,10,"BYU","BYU","Lose"
"991","WKU","FAU",2.5,0.72,0.93,0.67,0.93,20,0,4.99999999999999,"WKU","WKU","Lose"
"992","NM","NEV",-29.5,0.82,1.2,0.87,0.92,7,49,-33,"NEV","NEV","Win"
"993","NT","ULL",-9,0.79,0.95,0.88,0.83,10,30,-21,"ULL","ULL","Win"
"994","NW","IOWA",-6.5,1.04,0.98,0.96,0.9,31,41,1.11022302462516e-14,"NW","IOWA","Lose"
"995","ECU","MEM",14,0.67,1.02,0.74,1.01,35,17,-8,"MEM","ECU","Win"
"996","UGA","VANDY",11.5,1,0.72,0.7,0.69,33,28,27,"UGA","VANDY","Lose"
