"","Away Team","Home Team","Line","ATOR","ATDR","HTOR","HTDR","Away Score","Home Score","Predictor","Prediction","Line Result","Bet.Result"
"60","HOU","UCLA",3.5,1.37,0.78,0.6,0.98,13,31,97,"HOU","UCLA","Lose"
"61","LOU","ORG ST",-20,0.77,0.87,0.92,1.03,28,35,1,"LOU","LOU","Lose"
"62","GT","UNC",-3,1.07,0.86,0.75,0.72,30,24,18,"GT","GT","Lose"
"63","CONN","TEMP",6,1.05,0.81,0.82,0.8,16,30,22,"CONN","TEMP","Lose"
"64","NT","ARMY",-5.5,0.81,0.99,1.08,0.96,0,24,-30,"ARMY","ARMY","Win"
"65","NIU","ILL",-7,0.85,0.81,0.79,0.72,22,28,-3.00000000000001,"NIU","NIU","Lose"
"66","ISU","KAN ST",-3.5,0.73,0.92,1.17,0.79,20,27,-57,"KAN ST","KAN ST","Win"
"67","BALL","PUR",-16.5,0.87,0.81,0.89,0.92,13,24,9,"BALL","BALL","Lose"
"68","VANDY","MISS",-11.5,0.81,0.98,1.06,0.94,28,14,-29,"MISS","VANDY","Win"
"69","ECU","VT",-20.5,1.14,0.98,0.89,1,27,49,27,"ECU","VT","Lose"
"70","CSU","MIAOH",-7.5,0.64,1.18,0.71,0.8,10,31,-45,"MIAOH","MIAOH","Win"
"71","WSU","SMU",-23,0.75,1.06,0.86,0.85,21,35,-32,"SMU","WSU","Win"
"72","HAW","COL",-13.5,1.02,1.18,0.7,0.87,13,31,1.00000000000001,"HAW","COL","Lose"
"73","BYU","FSU",-10,0.85,1.04,0.95,0.93,10,34,-21,"FSU","FSU","Win"
"74","TROY","UAB",3.5,0.86,0.78,0.88,1.03,33,34,23,"TROY","UAB","Lose"
"75","CMU","EMU",10,0.87,0.59,0.87,1.07,52,14,48,"CMU","CMU","Lose"
"76","IND","WKU",13.5,1.18,0.72,0.85,1.39,38,21,100,"IND","IND","Lose"
"77","NAVY","LT",3,0.98,0.86,0.72,0.84,37,23,24,"NAVY","NAVY","Lose"
"78","UCF","BUFF",7.5,0.95,0.82,0.7,0.72,24,10,15,"UCF","UCF","Lose"
"79","TOLEDO","WMU",-3,0.73,0.93,0.93,0.96,37,24,-17,"WMU","TOLEDO","Win"
"80","TULSA","OKLA ST",-7,1.01,0.93,1.09,0.76,28,65,-25,"OKLA ST","OKLA ST","Win"
"81","MTSU","MEM",3.5,0.94,0.92,0.76,1.26,17,24,52,"MTSU","MEM","Lose"
"82","NW","RICE",6.5,1.08,0.75,0.79,0.93,30,13,47,"NW","NW","Lose"
"83","FIU","TEXAM",-28,0.66,0.65,1.04,0.58,20,27,-45,"TEXAM","FIU","Win"
"84","SDSU","MIZZ",-14.5,1.18,0.7,0.98,0.52,24,27,2,"SDSU","SDSU","Lose"
"85","MARSH","BGSU",3.5,0.74,1.04,0.7,0.93,28,44,-6.99999999999999,"BGSU","BGSU","Win"
"86","AKR","UK",-24,0.84,0.95,1.3,0.77,10,47,-64,"UK","UK","Win"
"87","ND","MSU",-3.5,0.87,0.95,1.11,0.74,31,34,-45,"MSU","ND","Win"
"88","ULM","ARK ST",-4,0.61,0.91,0.85,1.22,20,34,6.99999999999999,"ULM","ARK ST","Lose"
"89","FRESNO","USU",3.5,1.08,0.69,0.89,0.81,41,24,31,"FRESNO","FRESNO","Lose"
"90","NMSU","UTEP",-15.5,0.86,1.09,0.91,1.05,10,42,-9.00000000000001,"NMSU","UTEP","Lose"
"91","UNLV","IDA",-6.5,0.72,1.14,0.8,0.66,6,30,-56,"IDA","IDA","Win"
"92","MIAFL","PITT",3.5,0.89,0.76,0.98,0.82,31,3,-3,"PITT","MIAFL","Win"
"93","TCU","SMU",17.5,1.27,0.69,0.91,0.85,41,24,52,"TCU","SMU","Lose"
"94","SC","AUB",-3,1.03,0.74,1.06,0.85,27,35,8,"SC","AUB","Lose"
"95","ALA","ARK",7,1.22,0.64,1.05,0.78,24,20,31,"ALA","ARK","Lose"
"96","EMU","OSU",-44,0.83,1.13,1.06,0.5,20,73,-86,"OSU","OSU","Win"
"97","ORG ST","BOISE",-18.5,1.02,0.97,1.05,0.73,24,37,-27,"BOISE","ORG ST","Win"
"98","ORE","ASU",11.5,1.15,0.45,1.08,0.8,42,31,42,"ORE","ASU","Lose"
