Year,Week,Away Team,Home Team,Line,Over/Under,ATOR,ATDR,HTOR,HTDR,Score,Neutral
2010,3,MTSU,MEM,3.5,,0.94,0.92,0.76,1.26,17-24,
2010,3,NW,RICE,6.5,,1.08,0.75,0.79,0.93,30-13,
2010,3,FIU,TEXAM,-28,,0.66,0.65,1.04,0.58,20-27,
2010,3,SDSU,MIZZ,-14.5,,1.18,0.70,0.98,0.52,24-27,
2010,3,MARSH,BGSU,3.5,,0.74,1.04,0.70,0.93,28-44,
2010,3,AKR,UK,-24,,0.84,0.95,1.30,0.77,10-47,
2010,3,ND,MSU,-3.5,,0.87,0.95,1.11,0.74,31-34,
2010,3,ULM,ARK ST,-4,,0.61,0.91,0.85,1.22,20-34,
2010,3,FRESNO,USU,3.5,,1.08,0.69,0.89,0.81,41-24,
2010,3,NMSU,UTEP,-15.5,,0.86,1.09,0.91,1.05,10-42,
2010,3,UNLV,IDA,-6.5,,0.72,1.14,0.80,0.66,6-30,
2010,4,MIAFL,PITT,3.5,,0.89,0.76,0.98,0.82,31-3,
2010,4,TCU,SMU,17.5,,1.27,0.69,0.91,0.85,41-24,
2010,4,SC,AUB,-3,,1.03,0.74,1.06,0.85,27-35,
2010,4,ALA,ARK,7,,1.22,0.64,1.05,0.78,24-20,
2010,4,EMU,OSU,-44,,0.83,1.13,1.06,0.50,20-73,
2010,4,ORG ST,BOISE,-18.5,,1.02,0.97,1.05,0.73,24-37,
2010,4,ORE,ASU,11.5,,1.15,0.45,1.08,0.80,42-31,
2010,4,UCLA,TEX,-15.5,,0.72,0.87,0.92,0.69,34-12,
2010,4,OKLA,CIN,14,,0.99,0.79,0.92,0.93,31-29,
2010,4,UK,UF,-14,,1.27,0.73,0.96,0.53,14-48,
2010,4,SJSU,UTAH,-30.5,,0.75,0.97,1.08,0.71,3-56,
2010,4,CAL,ARZ,-6,,1.14,0.75,1.11,0.65,10-9,
2010,4,WVU,LSU,-10,,0.90,0.78,0.87,0.64,14-20,
2010,4,STAN,ND,4.5,,1.26,0.68,0.86,1.00,37-14,
2010,4,BALL,IOWA,-28,,0.84,0.88,1.05,0.71,0-45,
2010,4,USC,WSU,22,,1.04,0.88,0.79,1.06,50-16,
2010,4,BGSU,MICH,-25.5,,0.79,0.83,1.17,0.88,21-65,
2010,4,TEMP,PSU,-14,,0.88,0.80,0.83,0.87,13-22,
2010,4,BUFF,CONN,-20.5,,0.70,0.78,0.96,0.86,21-45,
2010,4,NCSU,GT,-7.5,,1.02,0.77,1.11,0.90,45-28,
2010,4,CMU,NW,-6.5,,0.99,0.66,1.04,0.66,25-30,
2010,4,VT,BC,4,,1.01,0.93,0.88,0.58,19-0,
2010,4,FIU,MARY,-12,,0.66,0.62,1.00,0.79,28-42,
2010,4,TOLEDO,PUR,-11.5,,0.78,0.78,0.93,0.88,31-20,
2010,4,UAB,TENN,-14,,0.88,1.00,0.85,0.83,29-32,
2010,4,UCF,KAN ST,-6.5,,0.94,0.77,1.14,0.80,13-17,
2010,4,AFA,WYO,13.5,,1.21,0.85,0.74,1.05,20-14,
2010,4,MIAOH,MIZZ,-20,,0.79,0.69,0.90,0.65,13-51,
2010,4,ARMY,DUKE,-6.5,,1.08,0.82,0.95,1.08,35-21,
2010,4,TULANE,HOU,-19.5,,0.80,0.81,1.12,0.82,23-42,
2010,4,ARK ST,TROY,-10.5,,0.92,1.12,0.89,0.81,28-35,
2010,4,UNC,RUT,2,,0.85,0.97,0.91,0.72,17-13,
2010,4,WAKE,FSU,-20,,1.02,1.06,1.01,0.82,0-31,
2010,4,IDA,CSU,8,,0.85,0.65,0.59,1.13,34-36,
2010,4,NEV,BYU,4,,1.28,0.85,0.74,1.06,27-13,
2010,4,NT,FAU,-10,,0.74,1.03,0.90,1.05,21-17,
2010,4,USM,LT,3.5,,0.98,0.86,0.74,0.96,13-12,
2010,4,OHIO,MARSH,-6.5,,0.62,0.89,0.69,1.00,23-24,
2010,4,MTSU,ULL,2,,0.81,0.91,0.81,0.94,34-14,
2010,4,UGA,MISS ST,-1,,0.95,0.84,0.86,0.82,12-24,
2010,4,NMSU,KAN,-23.5,,0.81,1.16,0.82,0.91,16-42,
2010,4,AKR,IND,-22.5,,0.78,1.07,1.14,0.83,20-35,
2010,4,WKU,USF,-27.5,,0.90,1.29,0.88,0.90,12-24,
2010,4,FRESNO,MISS,-2,,1.07,0.83,0.94,0.95,38-55,
2010,4,USU,SDSU,-8.5,,0.92,0.89,1.07,0.72,7-41,
2010,4,BAY,RICE,8,,0.88,0.84,0.69,0.95,30-13,
2010,4,NIU,MINN,-4,,0.91,0.90,0.99,1.03,34-23,
2010,4,MEM,UTEP,-11.5,,0.81,1.03,1.02,0.96,13-16,
2010,4,NM,UNLV,-10.5,,0.55,1.18,0.69,1.08,10-45,
2010,5,TEXAM,OKLA ST,-3.5,,0.91,0.60,1.18,0.80,35-38,
2010,5,BYU,USU,4,,0.76,1.04,0.86,0.95,16-31,
2010,5,ULM,AUB,-35,,0.79,0.93,1.07,0.84,3-52,
2010,5,UF,ALA,-8.5,,1.02,0.59,1.15,0.68,6-31,
2010,5,OSU,ILL,16.5,,1.18,0.59,0.89,0.82,24-13,
2010,5,BOISE,NMSU,43,,1.07,0.77,0.86,1.18,59-0,
2010,5,STAN,ORE,-6.5,,1.14,0.68,1.09,0.53,31-52,
2010,5,TCU,CSU,33.5,,1.19,0.74,0.73,1.13,27-0,
2010,5,TEX,OKLA,3.5,,0.83,0.76,0.97,0.78,20-28,1
2010,5,WISC,MSU,1.5,,1.20,0.80,1.15,0.73,24-34,
2010,5,TENN,LSU,-16.5,,0.86,0.83,0.83,0.65,14-16,
2010,5,MIAFL,CLEM,3,,0.92,0.69,1.14,0.82,30-21,
2010,5,PSU,IOWA,7.5,,0.86,0.81,1.11,0.66,3-24,
2010,5,WASH,USC,-10,,0.96,1.01,1.08,0.83,32-31,
2010,5,MICH,IND,10,,1.24,0.87,1.16,0.88,42-35,
2010,5,VT,NCSU,3.5,,0.98,0.81,1.02,0.78,41-30,
2010,5,NEV,UNLV,20.5,,1.21,0.84,0.81,0.93,44-26,
2010,5,VANDY,CONN,7,,0.87,0.89,0.95,0.79,21-40,
2010,5,NW,MINN,5.5,,1.03,0.71,0.98,1.05,29-28,
2010,5,KAN,BAY,-8.5,,0.92,0.92,0.92,0.82,6-55,
2010,5,FSU,UVA,6.5,,1.00,0.77,1.00,0.76,34-14,
2010,5,TEMP,ARMY,6,,0.81,0.84,1.12,0.79,42-35,
2010,5,OHIO,EMU,10,,0.71,0.93,0.85,1.24,30-17,
2010,5,UK,MISS,-3,,1.15,0.86,1.01,0.97,35-42,
2010,5,KENT,MIAOH,3,,0.62,0.75,0.77,0.85,21-27,
2010,5,TULANE,RUT,-17.5,,0.77,0.84,0.81,0.78,17-14,
2010,5,IDA,WMU,3.5,,0.91,0.77,0.80,0.93,33-13,
2010,5,NAVY,AFA,-9.5,,1.06,0.84,1.16,0.85,6-14,
2010,5,BALL,CMU,-19.5,,0.77,1.00,0.96,0.76,31-17,
2010,5,WSU,UCLA,-24.5,,0.76,1.08,0.78,0.80,28-42,
2010,5,ECU,UNC,-14,,1.04,1.06,0.83,0.85,17-42,
2010,5,BUFF,BGSU,-3,,0.67,0.81,0.80,0.98,28-26,
2010,5,FIU,PITT,-17.5,,0.74,0.81,0.84,0.87,17-44,
2010,5,UTEP,NM,15,,0.95,0.90,0.56,1.18,38-20,
2010,5,DUKE,MARY,-9,,0.90,1.11,1.06,0.81,16-21,
2010,5,NIU,AKR,13.5,,0.97,0.91,0.82,1.10,50-14,
2010,5,ASU,ORG ST,-3.5,,0.95,0.82,0.96,1.01,28-31,
2010,5,TTU,ISU,7,,0.88,0.69,0.77,0.86,38-52,
2010,5,TULSA,MEM,9,,0.99,1.00,0.79,0.96,48-7,
2010,5,SMU,RICE,11.5,,0.90,0.89,0.71,0.96,42-31,
2010,5,FAU,USF,-21,,0.90,1.01,0.93,0.86,3-31,
2010,5,GT,WAKE,10,,1.04,0.94,0.94,1.04,24-20,
2010,5,UGA,COL,4.5,,0.91,0.89,0.83,0.82,27-29,
2010,5,LOU,ARK ST,6,,0.82,0.95,0.90,1.07,34-24,
2010,5,WYO,TOLEDO,-4.5,,0.77,1.04,0.83,0.78,20-15,
2010,5,ULL,NT,-4.5,,0.77,0.96,0.79,1.00,28-27,
2010,5,ND,BC,2.5,,0.82,0.95,0.74,0.68,31-13,
2010,5,MARSH,USM,-9,,0.79,1.00,0.93,0.78,16-41,
2010,5,LT,HAW,-8.5,,0.70,0.91,0.99,0.97,21-41,
2010,6,TROY,MTSU,-3,,0.91,0.82,0.86,0.86,42-13,
2010,6,UAB,UCF,-12,,0.87,0.98,0.90,0.77,7-42,
2010,6,NEB,KAN ST,10.5,,1.10,0.67,1.06,0.80,48-13,
2010,6,OKLA ST,ULL,24,,1.11,0.80,0.83,0.96,54-28,
2010,6,CONN,RUT,5,,0.95,0.79,0.80,0.80,24-27,
2010,6,AUB,UK,6,,1.13,0.78,1.09,0.92,37-34,
2010,6,ALA,SC,7,,1.15,0.64,0.98,0.86,21-35,
2010,6,IND,OSU,-23,,1.10,1.02,1.13,0.63,10-38,
2010,6,ORE,WSU,35.5,,1.12,0.61,0.80,1.08,43-23,
2010,6,TOLEDO,BOISE,-38.5,,0.83,0.77,1.19,0.72,14-57,
2010,6,WYO,TCU,-35,,0.76,1.00,1.17,0.69,0-45,
2010,6,ORG ST,ARZ,-8,,1.01,0.95,1.02,0.66,29-27,
2010,6,UTAH,ISU,6,,1.17,0.73,0.86,0.88,68-27,
2010,6,ARK,TEXAM,5,,1.00,0.83,0.87,0.67,24-17,
2010,6,LSU,UF,-6.5,,0.82,0.69,0.91,0.68,33-29,
2010,6,FSU,MIAFL,6,,1.00,0.75,0.89,0.64,45-17,
2010,6,USC,STAN,-10,,1.10,0.87,1.10,0.81,35-37,
2010,6,MSU,MICH,-4,,1.10,0.77,1.29,0.90,34-17,
2010,6,MINN,WISC,-22,,0.97,1.06,1.16,0.83,23-41,
2010,6,SJSU,NEV,-37.5,,0.77,1.04,1.21,0.83,13-35,
2010,6,COL,MIZZ,-11.5,,0.89,0.85,0.99,0.67,0-26,
2010,6,CSU,AFA,-24,,0.69,1.12,1.15,0.83,27-49,
2010,6,SYR,USF,-8,,1.02,0.83,0.97,0.78,13-9,
2010,6,BC,NCSU,-9,,0.70,0.69,0.96,0.84,17-44,
